7182,17399,-2562,3870,1371,-6493,5824,-789,1170
14622,7696,-6879,4352,-769,-1089,5811,-692,1118
14119,7338,-5204,6939,1468,-1097,5810,-695,1135
15226,6609,-6783,7146,198,-3247,5787,-677,1118
16639,6929,-5590,6944,1670,-2600,5818,-639,1122
14960,5954,-5715,6914,-320,-2078,5841,-569,1081
16865,6740,-5969,6304,1330,-4948,5855,-454,1005
16067,5696,-3401,6578,210,-3616,5848,-384,1093
14345,5168,-6309,6556,-1382,-3214,5843,-339,1065
15273,4456,-7342,6513,3214,-7225,5861,-174,1102
11869,2035,-3980,10361,1772,-8580,5821,-46,1172
10266,2665,-1965,6835,-6923,-6993,5803,185,1082
9386,1555,-157,6333,-10194,-8913,5814,342,927
8360,-918,2497,6646,-11520,-10928,5778,606,643
11462,-1784,4971,311,-20572,-10951,5670,949,343
12882,-362,10450,-1891,-31985,-888,5427,1126,-279
11503,-2286,16413,-9265,-32768,12364,5079,901,-1104
