3167,-5679,1686,-1722,-2087,2625,5080,1445,1201
17258,-3620,-2426,-762,-3644,-2210,5115,1464,995
17134,-4175,-1583,1533,-4919,-2031,5154,1414,901
17411,-3343,-886,-616,-3242,-3235,5218,1380,819
17853,-3113,-990,-908,-2378,-2773,5231,1380,810
17912,-3685,-1092,-83,-1654,-1686,5274,1407,835
17348,-3490,-1072,1236,-881,-263,5244,1387,779
17170,-3306,-1908,2035,-936,1032,5254,1390,799
16196,-2236,-2230,1710,-511,2324,5302,1358,802
14980,-1809,-3481,1199,-1846,3099,5313,1292,744
14218,-1256,-3633,1724,-3582,1519,5333,1277,730
13855,-137,-3392,2594,-6301,-440,5368,1254,701
13749,327,-2300,1280,-8197,-47,5339,1268,560
12949,-229,-1437,-170,-9616,1341,5343,1252,473
11780,-2009,381,95,-11698,1409,5343,1230,303
11307,-3125,2194,4017,-14461,-3118,5347,1225,204
10363,-2330,3347,5747,-17245,-6083,5321,1282,13
10305,-1465,5626,3852,-19040,-1688,5183,1422,-290
8318,-3240,7702,-532,-16703,-1584,5089,1436,-414
7578,-5042,10638,2062,-17200,-6322,5004,1446,-613
8694,-4006,11857,7976,-19549,-6797,4841,1600,-825
8488,-4026,12610,7221,-17731,-6782,4536,1842,-1046
7546,-4490,14366,4804,-17038,-5663,4341,1939,-1160
8165,-6477,14934,5694,-16535,-4905,4134,2066,-1221
7809,-6772,16720,2497,-13113,-6155,3877,2246,-1326
