15334,16959,-32764,1066,-494,-4747,5303,-400,2147
15400,5360,-4246,1815,-2599,-2183,5352,-359,1959
15680,5730,-3078,1781,-1536,-4835,5385,-292,1950
18738,5713,-291,121,-1919,-3272,5384,-233,1877
15232,4589,-5499,-1041,-2361,-765,5429,-248,1857
14350,4746,-7850,449,-1715,-1917,5453,-202,1877
14207,5180,-7556,2145,-1954,-3928,5449,-165,1801
13992,5798,-8542,2718,-3519,-5378,5481,-100,1771
13928,5757,-7705,1535,-6743,-3674,5488,-57,1689
12687,3827,-7034,-1153,-10901,-2199,5551,26,1547
13042,2628,-6902,-2758,-14986,-1918,5590,67,1281
12660,2657,-5266,-1042,-18801,-271,5648,135,895
11669,1441,-1757,2105,-19671,-3076,5650,115,683
10108,1272,5682,1100,-23138,-3998,5632,170,295
13878,2050,7595,-3321,-29110,-1429,5534,261,-235
9163,-1008,7902,2023,-24482,3696,5345,169,-780
8261,1663,12337,2432,-21697,2369,5183,173,-1072
5439,1055,15150,1749,-20287,3839,5002,142,-1400
7132,5329,19172,-2901,-19624,6342,4716,47,-1734
3875,2122,13221,-2909,-18662,6668,4521,-91,-1925
2721,3563,11966,8796,-9578,2620,4239,-167,-2123
