-2060,-5482,-365,-1927,-5659,3749,5290,765,1628
17541,568,-3258,-374,-3435,-1598,5325,821,1371
17180,-177,-2336,-159,-3763,-526,5386,815,1329
15611,63,-5566,782,-4965,-1325,5406,823,1245
17423,-468,-1767,-75,-2357,-1553,5410,818,1212
17822,-455,-2547,-255,-2154,-2135,5432,854,1187
17322,-39,-3189,-784,-3559,-1227,5445,890,1146
16874,-524,-3848,-1052,-5546,-83,5401,882,1076
17319,-720,-3673,-328,-8617,-301,5452,881,953
17659,-1064,-2810,1948,-9376,-2398,5438,927,858
16877,474,-713,905,-9302,-2664,5449,926,767
14816,260,26,-1912,-10305,1128,5430,980,586
13146,-1602,854,-969,-10342,1206,5446,942,434
12317,-570,1630,1654,-12027,-1827,5396,916,242
11488,589,2496,955,-15021,-214,5423,949,24
9306,-898,4950,262,-19984,2295,5408,878,-189
9943,-1660,4268,3957,-20181,-79,5282,898,-419
8714,-229,7780,3709,-18572,-1170,5192,957,-648
8722,-1326,10269,4783,-19069,-932,5095,968,-853
8729,-726,13338,3023,-16772,-2519,4889,1082,-1153
9109,-1720,14911,355,-14947,-1495,4738,1115,-1292
8455,-2022,15855,910,-13756,-1547,4580,1131,-1471
8109,-2547,16502,3541,-12270,-1612,4467,1172,-1635
8024,-2885,17630,4983,-10426,-3306,4234,1290,-1665
7886,-3296,18808,4596,-7929,-3228,4124,1404,-1685
