-7092,24840,-29398,-3339,-398,557,4566,-3020,-127
2331,13842,3737,-1794,2041,-1168,4475,-3123,-84
5023,15428,5277,-589,2410,-4361,4495,-3126,-13
6620,14627,3759,-1113,1375,-3504,4586,-3089,-19
4431,13035,3647,543,1883,-7653,4662,-2985,39
5339,13131,4472,2646,3528,-12871,4811,-2848,42
7727,13226,4070,3199,3686,-18242,4945,-2698,73
7805,10822,3879,5226,5691,-20787,5205,-2362,45
8915,7739,2807,8576,6818,-28255,5426,-1907,122
11584,5120,3973,12450,7336,-32768,5621,-1456,174
14407,5263,5014,11693,6347,-32768,5750,-662,278
14584,989,3651,9174,3541,-32768,5737,137,352
13548,-4091,2439,12726,2136,-32768,5564,922,461
14715,-6518,3870,14518,618,-32768,5315,1439,513
16082,-7411,3649,12612,3407,-32768,4864,2153,696
13335,-9773,2686,7267,5172,-30005,4294,2649,852
10168,-13616,393,4263,3540,-26043,3996,2903,973
8300,-15533,-758,7218,3765,-25561,3483,3162,1064
8887,-14411,1372,7444,2198,-23314,3013,3334,1201
