5247,15002,7969,314,-886,1454,3749,-2166,-737
5272,13343,8419,988,941,-3570,4147,-2263,-714
5650,13531,8037,-615,218,-3193,4190,-2244,-772
5892,12956,7717,-1919,176,-3233,4217,-2197,-671
5958,13000,7551,-1097,1562,-4696,4239,-2192,-686
6178,12953,7267,-354,2963,-8495,4309,-2102,-633
6837,11990,7234,2267,4307,-13157,4490,-1945,-639
8285,10962,7073,5574,6201,-17854,4657,-1770,-566
9677,10191,7150,6946,7502,-20562,4849,-1401,-520
10731,8134,7207,7365,8968,-25173,5027,-920,-400
12111,5667,6342,8269,9795,-29463,5146,-567,-241
13286,2372,5337,9839,8732,-31949,5268,138,-75
13584,305,5580,8758,7677,-31272,5184,818,128
13526,-2286,4734,7084,4986,-27995,4990,1454,283
12987,-4850,4227,5440,3548,-24078,4818,1847,322
12434,-6653,4351,3793,2355,-21631,4503,2295,403
12535,-7786,4337,-131,1187,-17757,4155,2664,419
12979,-9787,3668,-1838,2134,-13156,3867,2973,446
13380,-10498,3355,-2953,1848,-7223,3560,3255,445
