-13249,10448,32614,4413,79,-1761,2159,1177,-2476
2153,-829,20064,-2090,2441,891,2139,1134,-2515
1973,-710,20893,-3124,2410,2794,2217,1072,-2500
-733,952,15242,-2708,2618,2755,2292,1026,-2508
1600,-1036,20948,-3526,6060,2287,2389,955,-2586
1686,-686,21067,-3073,9023,923,2501,943,-2551
2843,-104,20535,-3002,11092,386,2713,826,-2519
3765,397,16452,-2831,14379,-69,3513,582,-2288
5135,937,15768,-453,14688,-837,3725,567,-2165
5298,1561,15006,-254,13793,-756,4000,578,-1992
7382,2205,13051,-311,11312,-578,4207,540,-1908
7419,1821,11726,1720,10817,712,4403,563,-1764
6161,1127,11928,4058,11879,-638,4540,621,-1550
8009,2556,13724,4049,11289,-1781,4679,659,-1425
8701,1842,13608,1220,11076,862,4825,675,-1286
9399,1429,11207,-1541,11712,881,4947,672,-1133
9620,1440,8943,-2057,12863,3996,5071,665,-983
7369,124,7694,-1330,11976,2519,5213,508,-725
8468,766,5527,-485,9676,157,5321,484,-581
8065,84,5676,-34,8489,-2124,5410,530,-351
10013,1188,3634,-376,6069,-4924,5441,548,-301
9550,571,3823,-407,4813,-3939,5444,583,-174
11522,1909,-724,-875,1119,-4074,5458,696,-64
