9189,1499,3153,1251,6093,-27,5601,462,-304
10174,2677,2366,-1053,-2228,-949,5644,439,-240
12029,2619,3422,-2218,-4946,-1681,5624,473,-300
-3369,10077,-16141,-141,-6003,-927,5551,464,-408
12679,1497,7123,1690,-5280,-1407,5529,497,-505
12649,2059,7042,1612,-5909,-1965,5484,531,-670
12826,1912,7297,2074,-6100,-2527,5385,575,-758
12273,1472,8886,1758,-6386,-1711,5360,633,-822
11348,1268,8397,1390,-7885,-1188,5345,688,-936
10138,1156,9339,1470,-8969,-1194,5228,727,-1074
8970,1270,9439,1522,-9736,-1893,5103,760,-1200
8846,1113,10539,1022,-10580,-2157,4969,832,-1445
7280,1071,12399,601,-11973,-1171,4776,838,-1532
7227,-85,13479,1161,-12746,-3230,4599,862,-1720
8909,880,15046,1318,-12189,-2991,4379,894,-1876
2923,-877,18851,-316,-13651,-1345,4183,972,-2023
