-23592,-17551,31465,-1204,3733,-4936,5477,843,-143
10953,340,1245,423,-4761,-992,5473,839,-103
12408,-1070,4874,1352,-6338,1039,5417,847,-254
11231,-627,6081,468,-6971,1962,5411,833,-263
11707,145,5668,466,-7210,-356,5379,807,-408
11354,809,6108,959,-7969,-1102,5344,820,-542
10873,707,6640,1507,-8981,-2027,5259,829,-589
10691,547,8047,1409,-9991,-2365,5176,900,-843
9936,-71,8933,1789,-10861,-2767,5043,942,-969
10901,-1056,11708,1647,-11166,-4188,4885,1060,-1168
11143,320,11743,388,-11534,-1724,4779,1050,-1300
7947,-684,12158,715,-12145,-1498,4609,1087,-1434
8529,-525,13905,-471,-12438,-3573,4458,1128,-1565
7680,-893,12179,-1466,-13264,-1952,4222,1128,-1748
6509,-2891,14395,817,-13126,-3954,4087,1153,-1862
7528,-2196,17649,13,-13741,-2684,3832,1226,-2017
5355,-2839,17405,-543,-13157,344,3593,1239,-2144
993,-3419,21253,-514,-12760,-1740,3384,1238,-2258
3093,-2064,22283,-4904,-13307,-8571,3190,1236,-2344
5690,-620,18467,-6637,-11992,-2642,2874,1163,-2460
