27983,12096,17174,1265,1787,-1226,2945,1004,-2382
4577,-1232,16272,467,672,2726,3057,945,-2398
2414,-2169,17790,-538,874,3195,3068,945,-2411
3985,-716,17173,-2478,1896,848,3107,898,-2363
5632,-397,19285,-2118,3174,-570,3215,842,-2392
6474,-289,18663,-2931,4023,232,3284,793,-2434
7746,-320,19378,-2835,6202,179,3386,725,-2366
6618,-411,18650,-2359,8314,561,3466,662,-2359
8020,262,17304,-2341,9869,201,3692,598,-2272
7700,136,14056,-1853,10612,584,3891,566,-2127
7275,227,12507,390,10878,1176,4092,537,-2019
7709,962,13193,2153,11201,368,4335,558,-1839
8255,1443,12319,1613,10902,1032,4481,591,-1654
8313,1743,11373,586,9929,1385,4660,591,-1499
9160,2293,10538,36,9662,780,4782,565,-1329
8771,2542,10293,-1209,10717,1379,4928,547,-1155
9657,2382,7699,-317,8297,-98,5068,494,-979
10354,2581,7302,-122,9436,1058,5156,500,-862
9195,1031,5671,-1496,7619,-774,5254,452,-628
11695,1903,955,-853,5767,-1109,5323,472,-496
12520,1223,3643,2548,3804,-2714,5347,503,-422
