-1204,-6353,12496,1585,-2553,-2356,2595,1684,-2729
2061,-3229,19084,23,1305,-1445,2353,1854,-2740
1907,-3641,20058,1664,2925,248,2557,1793,-2695
1995,-3991,19731,1364,5679,401,2715,1759,-2632
3277,-4553,19250,-993,8031,1152,2918,1739,-2611
3990,-4500,19450,-1499,8483,2573,3164,1688,-2478
4246,-4417,17281,-3176,10130,1603,3415,1563,-2434
4325,-4162,15256,-419,10099,1084,3682,1470,-2292
4720,-3673,14460,-2253,10865,1796,3942,1432,-2120
5800,-3612,13121,-238,10067,1795,4139,1360,-1965
7294,-1616,12381,-2715,9036,3372,4369,1328,-1782
7227,-2603,10938,-1128,9205,2051,4551,1192,-1665
7215,-1263,9004,-1654,7924,3495,4697,1063,-1385
7947,-339,7067,-591,5445,3590,4835,964,-1290
9106,1449,6573,-2126,4362,2480,4928,851,-1236
9312,2164,6803,-383,2313,1046,4988,829,-1108
9664,1718,6524,-1022,1222,502,4939,840,-1078
