13131,3858,19276,-2362,-2771,-2291,2433,1236,-2389
2480,-1208,18844,-2051,1642,1764,2424,1115,-2451
1212,-1701,17240,-1258,1443,1908,2485,1068,-2486
1310,-2728,19607,-676,2411,328,2528,1080,-2479
2177,-537,17485,-1747,3399,1292,2563,1028,-2432
2341,-843,17716,-1309,4274,1883,2657,999,-2452
2602,-100,18039,-2113,4759,1922,2823,917,-2455
3197,-316,18392,-2534,5427,1777,2948,863,-2450
3903,-1126,17713,-2052,5649,1505,3098,797,-2383
5322,890,18178,-1772,7476,2595,3221,771,-2436
2680,468,15775,-1199,6912,1618,3394,748,-2374
4116,1843,17062,10,7505,-488,3574,677,-2289
5332,2164,16439,-553,8288,-676,3736,685,-2206
5229,1459,15681,-858,8579,-479,3876,671,-2092
5712,1839,15489,-615,9355,-911,4037,652,-1962
6857,1297,14931,-1151,10123,-1350,4183,675,-1922
7820,935,14098,-627,10595,-1587,4378,616,-1790
8813,-239,11767,517,11937,-1919,4602,666,-1596
9163,22,12120,4315,14161,-2289,4760,738,-1383
9959,1484,12834,1401,13054,-1176,4989,771,-1147
9263,514,8277,-2358,10769,-28,5089,805,-906
9545,725,5347,-779,8992,-318,5195,746,-784
9616,956,6578,-562,7308,-654,5313,755,-543
10554,364,3590,-2269,4330,-636,5319,750,-513
10858,771,2256,-637,2567,-362,5392,731,-405
