-11242,25030,24141,-354,1016,1127,4622,-2046,-1246
7221,11982,14084,-791,1914,-4011,4716,-1927,-1237
8856,11659,12971,-1940,2312,-5705,4790,-1914,-1194
7783,10203,13576,-1054,2821,-5625,4866,-1793,-1135
8193,10116,12853,-2098,3341,-7139,4939,-1739,-1132
8170,8949,11066,-3081,4817,-9454,5030,-1696,-1040
9265,9141,11061,-2681,7491,-11728,5175,-1573,-879
9944,7990,9303,-1619,8962,-14186,5317,-1400,-779
11392,7785,9671,506,11507,-16725,5478,-1099,-585
11979,7315,9221,-391,13032,-19652,5594,-887,-478
13543,5142,7485,-2029,13194,-23278,5750,-480,-180
14989,3843,8335,-1788,15379,-25440,5760,43,89
15472,1974,8279,-4483,13920,-24156,5703,584,389
13727,-3836,2270,-7065,13706,-23183,5580,1086,579
13026,-4736,1354,-1098,15995,-25282,5450,1419,779
11698,-4306,3664,-4117,15519,-25317,5144,1894,1015
9585,-6910,423,-7107,17072,-26799,4710,2328,1190
8190,-9394,-1989,-4758,17010,-28892,4350,2637,1231
7299,-10118,-824,-1690,17080,-29682,3813,2984,1337
6939,-9752,-895,-3134,14196,-25626,3184,3250,1434
6063,-12700,-4941,-1310,11947,-18457,2819,3322,1412
2647,-15157,-1337,1731,11477,-12209,2368,3412,1399
