-9415,20079,3925,711,-165,761,3739,-3552,291
1514,16023,-219,4443,191,-3418,3750,-3524,221
1803,16242,461,5980,1247,-5891,3835,-3535,143
2674,16255,1818,9891,455,-7705,3933,-3497,20
3255,16459,345,13153,-463,-9425,4029,-3369,-136
3784,14040,8050,16413,-249,-13616,4115,-3275,-303
3926,12629,9050,16686,-704,-12957,4263,-3076,-452
5509,15430,7007,14231,-1806,-13659,4423,-2905,-571
6137,13494,6071,15946,-1441,-16781,4513,-2676,-785
6860,12632,7766,19153,-1052,-21900,4718,-2243,-1015
7964,10448,8467,21248,-1141,-24914,4790,-1829,-1103
8757,8108,9238,21995,-673,-26899,4944,-1343,-1285
9265,6112,10116,22163,-359,-27283,4987,-854,-1318
9829,4403,9821,19853,-911,-24482,5015,-359,-1391
9534,1601,10064,19030,-394,-23394,4954,318,-1313
9802,480,10400,16413,-539,-22461,4838,756,-1294
10065,-986,10431,14055,-241,-19687,4717,1114,-1263
9649,-2620,10250,11290,-116,-17044,4602,1398,-1157
9544,-4184,9916,9864,78,-15433,4476,1685,-1053
9150,-5274,9794,8349,674,-14315,4365,1875,-1062
9352,-6354,9469,6310,393,-12306,4261,2068,-936
8865,-7959,9410,5390,220,-10417,4147,2217,-907
8945,-8712,9647,5861,-702,-9094,4010,2346,-862
8724,-9776,9240,5518,-1436,-7130,3846,2550,-772
