5415,15695,3070,-2067,-5417,2321,4219,-2081,-70
9602,13629,7212,3624,669,-10360,4615,-1907,-237
9633,12473,6713,4830,2001,-13119,4820,-1760,-268
10715,11141,6144,5405,2430,-14902,4955,-1509,-278
11241,8800,5508,7575,3803,-19210,5091,-1020,-262
12732,7276,4853,9902,5320,-25634,5192,-497,-218
13684,3148,4359,10210,6811,-28215,5219,160,-94
12875,1090,4934,8669,6888,-30303,5141,825,85
13113,-2777,2800,5471,4309,-28725,4954,1696,285
12887,-5369,2722,4184,1170,-24600,4607,2195,345
12523,-7511,3781,2632,-418,-19401,4266,2589,364
12440,-9497,4412,1033,-311,-14163,3964,2927,394
11993,-11358,3706,1879,-1178,-9420,3487,3298,408
