6378,16100,9882,2702,-903,-3426,3891,-1766,-831
6612,12597,10678,3011,3511,-3967,4297,-1848,-897
7654,12571,9705,338,3212,-4768,4461,-1831,-886
8354,11777,8779,841,2512,-5650,4558,-1705,-825
9159,11492,8606,1285,5224,-9856,4641,-1564,-792
10226,9516,8216,3251,7942,-12971,4796,-1258,-617
11519,8188,7767,4756,10574,-14899,4971,-998,-524
11899,6819,6664,3474,12049,-18559,5103,-634,-280
12708,4110,4639,5172,13523,-21993,5257,-67,19
13056,2083,3959,8413,13118,-24666,5312,415,376
12577,-643,2470,6000,10063,-25256,5138,1110,679
12915,-3372,686,6157,7928,-23543,4919,1631,877
12620,-5487,196,4042,5279,-20804,4533,2210,1087
12339,-7858,-474,3557,3359,-16565,4246,2558,1157
10532,-9429,1797,1582,1390,-12420,3924,2800,1300
12537,-9535,-175,-337,-1456,-6532,3452,3230,1308
