13051,-11721,7281,7357,-2352,-6805,3239,3131,-115
11350,-12402,5071,-1500,-99,7477,3360,3026,-196
8665,-12204,6315,-463,-559,7041,3612,2938,-224
10139,-10687,5022,69,564,3483,3727,2882,-217
10680,-9658,5800,1859,284,662,3797,2838,-184
12751,-9330,5621,-74,578,1579,3821,2821,-168
13835,-9855,5501,-661,1078,6966,3851,2782,-160
15332,-9552,5335,-1753,1697,12350,4064,2605,-167
15093,-8330,6310,-1551,2459,19297,4439,2314,-166
14945,-6617,4888,-2493,1913,21984,4853,1888,-159
13768,-4403,4178,-1704,221,21168,5132,1449,-150
12747,-3195,1537,2956,-558,18606,5395,905,-177
12998,-923,3822,10233,2922,10269,5541,469,-27
14299,2856,8999,5948,837,10133,5660,347,48
