4343,15900,9156,-816,-1248,851,4434,-2924,-604
5382,12999,10046,-493,2156,-6800,4546,-2806,-536
5091,12405,7994,-1424,1191,-6182,4615,-2707,-568
5535,11245,6965,-1055,1409,-7373,4719,-2699,-540
5773,10971,6031,1327,1760,-10210,4820,-2579,-498
7687,11577,7375,2909,2629,-14006,4905,-2484,-493
8157,10429,6620,3462,4484,-15155,5099,-2237,-463
8639,8993,6344,5157,6203,-19426,5219,-2018,-451
9173,5894,4873,9445,8438,-27120,5621,-1529,-388
12802,5858,7584,11317,9252,-32422,5604,-1059,-344
14237,5193,9021,7337,6955,-30528,5687,-582,-196
14701,2620,5640,1104,5073,-24098,5658,102,-89
13058,-1307,3834,2766,1696,-19988,5594,570,-34
13128,-3952,2860,6815,1087,-21769,5496,853,-22
15805,-5146,3038,10740,3829,-22722,5322,1338,92
14261,-7234,5284,13349,5313,-22349,5160,1692,216
13755,-8598,5227,12000,4096,-24681,4863,2114,396
12831,-10380,4007,10775,4223,-26210,4631,2379,619
10788,-13041,3863,8633,5449,-27463,4185,2779,819
