2944,14417,-124,1388,-733,4797,4511,-2509,-648
5797,13762,6217,2081,1210,-817,4538,-2665,-724
5438,13150,6716,3435,589,-1119,4596,-2679,-681
6062,13161,6662,3045,1741,-2865,4532,-2649,-785
6331,13098,6652,3714,1317,-4933,4618,-2593,-750
6959,13255,6971,5178,321,-6566,4700,-2451,-811
7854,13701,7663,6094,1502,-8521,4705,-2363,-854
8272,13244,8130,4494,2689,-9776,4815,-2163,-900
8979,11750,8118,3665,2597,-10690,4880,-2000,-923
9483,10522,7494,3843,4275,-13540,4996,-1798,-916
10260,10039,7914,3901,4392,-16575,5101,-1613,-867
11329,8776,7437,5574,4645,-18471,5239,-1267,-795
11947,8062,7049,5547,4435,-18219,5336,-861,-763
12433,8219,7165,2869,2809,-15927,5374,-596,-742
12107,5788,6293,646,3098,-14799,5389,-298,-660
11703,4025,6292,555,2557,-15837,5389,-121,-643
12062,2009,6872,566,820,-15966,5399,116,-644
12679,-262,6300,2506,399,-16608,5339,391,-636
13178,-1449,6920,5415,-804,-17757,5246,639,-595
13122,-3531,6626,7635,-925,-20927,5065,1071,-586
13173,-5306,5914,10442,-2346,-23497,4899,1418,-580
12311,-6755,6813,15578,-4615,-27632,4581,1904,-549
10636,-11405,8541,43,-3048,-1187,3665,2812,-359
