6790,-6255,22757,615,-432,1168,1656,2159,-2627
3154,-4959,15109,151,-930,1964,1669,2153,-2640
2474,-5147,15221,342,-1384,4300,1889,1961,-2701
3117,-5804,15173,1185,-673,6086,2023,1968,-2654
2813,-6348,15273,1597,-768,6231,2155,2012,-2570
2361,-5380,15154,1971,-919,8198,2345,2047,-2542
2651,-4699,15093,3937,-613,7392,2539,2052,-2468
2722,-6553,14700,2771,-1882,8268,2726,2112,-2395
2046,-7742,15293,1201,-2101,11417,2897,2083,-2381
853,-4898,15376,4407,-2337,14906,3218,1905,-2407
1396,-3644,15095,3594,-3873,15536,3465,1753,-2315
2880,-2994,15084,3074,-3895,13924,3638,1544,-2291
2376,-3275,15095,1205,-2487,9895,3790,1359,-2339
2567,-1778,15639,3305,-1739,8972,3829,1075,-2378
1487,-1776,14923,1575,-1596,4704,3824,1069,-2386
