-9285,-10069,5668,136,-268,-962,2516,2305,-2441
3318,-7274,15859,-543,-1134,-677,2435,2350,-2464
2827,-7310,15693,-1396,336,120,2418,2297,-2494
2491,-7977,15578,-66,807,839,2457,2244,-2446
2048,-7748,15586,866,517,2052,2572,2187,-2507
2782,-8306,15643,2381,577,4014,2638,2184,-2483
2791,-7499,15532,1549,733,4059,2690,2171,-2379
3559,-8252,15761,1511,1006,5536,2789,2166,-2419
3252,-7645,16163,188,1679,8074,2919,2117,-2368
2271,-7707,15682,349,1752,9726,3079,2008,-2353
1416,-7577,15346,1501,1897,9786,3226,1977,-2273
882,-6758,15027,1698,1017,12109,3389,1894,-2303
1003,-5866,14278,3517,45,12663,3553,1844,-2273
448,-4397,13201,3304,-297,12542,3671,1776,-2230
-222,-4155,13161,3170,-1310,13624,3771,1706,-2183
-503,-3842,13037,5467,-3383,13194,3928,1568,-2179
695,-2758,13659,5045,-5139,13765,3964,1484,-2223
667,-2519,13770,5299,-5513,13675,4008,1385,-2189
1023,-2435,14381,5250,-5581,12277,4031,1346,-2214
1559,-1206,15377,4160,-5738,11960,4052,1248,-2268
2322,-1029,15758,3241,-5260,10179,4045,1182,-2258
2149,-896,16459,1758,-4005,7338,3990,1141,-2320
2276,189,17214,1298,-4536,8717,3916,1114,-2344
