9322,654,3328,-1730,-548,-70,4906,1012,-703
10791,620,6893,4075,-3392,1191,5109,680,-810
9493,1563,7761,3338,-4872,-612,5141,663,-872
8392,789,8175,1917,-7297,1537,5126,637,-951
8896,753,7736,3927,-8642,352,4978,683,-1154
8538,478,8906,3378,-9798,-1395,4879,727,-1295
8325,-33,10391,3681,-11471,-1614,4766,764,-1448
8053,-760,11680,3392,-11435,-1936,4618,829,-1579
7677,-1720,12611,2510,-11712,-2878,4450,910,-1751
7008,-2532,13750,3575,-12165,-3264,4269,997,-1904
7135,-1734,16022,2853,-11488,-3420,4026,1091,-2038
6250,-4225,16819,4723,-7571,-6955,3727,1223,-2152
5826,-3366,17352,9241,-6943,-7471,3577,1407,-2131
5050,-2853,20079,5594,-7371,-5362,3395,1580,-2141
4083,-4051,21575,4247,-8148,-2589,3158,1745,-2145
5281,-4798,19726,3602,-8204,-1966,2831,2292,-2170
