-9159,2055,26642,1088,-2091,-446,3872,1329,-2085
1025,-2477,18759,-1427,2808,-4533,3826,1418,-2061
1961,-3927,20462,-618,3680,-6738,3910,1364,-1998
838,-3692,17264,-2455,5655,-8205,3956,1416,-2027
1364,-3995,16621,-3699,6536,-9376,3982,1404,-1960
878,-4745,16411,-4691,7198,-10569,4032,1414,-1931
1214,-5153,15358,-5301,7474,-12296,4102,1477,-1870
1435,-5254,15499,-6510,7260,-13970,4074,1540,-1867
1418,-5319,16054,-7181,6972,-13787,4093,1601,-1871
1177,-6014,14437,-6745,7538,-14795,4063,1641,-1830
723,-5770,14361,-6374,7530,-16216,4010,1727,-1794
1312,-5423,14412,-7909,6895,-16026,3945,1808,-1807
1272,-6601,14128,-7704,7069,-16837,3918,1835,-1828
1751,-7054,14187,-6742,6057,-16817,3836,1896,-1843
2627,-7245,14020,-6252,4878,-15388,3755,1992,-1845
3245,-8049,14527,-7827,3562,-15330,3624,2007,-1874
3578,-9616,14028,-7396,4022,-14530,3529,2057,-1932
2975,-9666,13782,-4304,4668,-13252,3422,2080,-1965
2884,-7826,13504,-4274,4055,-11792,3338,2095,-2054
2962,-6827,12610,-6715,3149,-10129,3296,2105,-2023
3096,-6589,12524,-7429,2282,-9902,3196,2101,-2093
3261,-6558,12147,-5709,1486,-10538,3138,2087,-2174
3086,-6377,12697,-4619,369,-10760,2990,2061,-2182
3900,-7066,12244,-4448,-864,-9580,2906,2063,-2240
4804,-8802,12852,-2103,-2083,-8758,2715,2054,-2293
5960,-8390,14627,-739,-2408,-8426,2599,2130,-2290
6521,-8303,14873,-2552,-1988,-6609,2426,2140,-2332
6208,-9524,14115,-1595,-1337,-5414,2360,2164,-2368
